00949	18.4319	-66.19970000000001	Toa baja	PR	Toa baja	STANDARD
00950	18.4578	-66.1965	Toa baja	PR	Toa baja	STANDARD
00951	18.4578	-66.1965	Toa baja	PR	Toa baja	STANDARD
00952	18.4578	-66.1965	Sabana seca	PR	Toa baja	STANDARD
00953	18.3568	-66.25700000000001	Toa alta	PR	Toa alta	STANDARD
00954	18.3589	-66.2581	Toa alta	PR	Toa alta	STANDARD
00955	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00956	18.3267	-66.1742	Bayamon	PR	Bayamon	STANDARD
00957	18.3666	-66.18389999999999	Bayamon	PR	Bayamon	STANDARD
00958	18.3449	-66.166	Bayamon	PR	Bayamon	STANDARD
00959	18.3871	-66.15900000000001	Bayamon	PR	Bayamon	STANDARD
00960	18.3449	-66.166	Bayamon	PR	Bayamon	STANDARD
00961	18.4132	-66.1686	Bayamon	PR	Bayamon	STANDARD
00962	18.4376	-66.1404	Catano	PR	Catano	STANDARD
00963	18.4432	-66.13930000000001	Catano	PR	Catano	STANDARD
00965	18.4288	-66.11539999999999	Guaynabo	PR	Guaynabo	STANDARD
00966	18.3968	-66.11490000000001	Guaynabo	PR	Guaynabo	STANDARD
00968	18.4105	-66.0605	Guaynabo	PR	San juan	STANDARD
00969	18.3623	-66.11369999999999	Guaynabo	PR	Guaynabo	STANDARD
00970	18.3591	-66.1123	Guaynabo	PR	Guaynabo	STANDARD
00971	18.3094	-66.11360000000001	Guaynabo	PR	Guaynabo	STANDARD
00975	18.4105	-66.0605	San juan	PR	San juan	UNIQUE
00976	18.3381	-65.9892	Trujillo alto	PR	Trujillo alto	STANDARD
00977	18.337	-65.9901	Trujillo alto	PR	Trujillo alto	STANDARD
00978	18.337	-65.9901	Saint just contract	PR	Trujillo alto	STANDARD
00979	18.4105	-66.0605	Carolina	PR	San juan	STANDARD
00981	18.4105	-66.0605	Carolina	PR	San juan	STANDARD
00982	18.4105	-66.0605	Carolina	PR	San juan	STANDARD
00983	18.4135	-65.9777	Carolina	PR	Carolina	STANDARD
00984	18.3934	-65.9725	Carolina	PR	Carolina	STANDARD
00985	18.3457	-65.9389	Carolina	PR	Carolina	STANDARD
00986	18.3934	-65.9725	Carolina	PR	Carolina	STANDARD
00987	18.3735	-65.9599	Carolina	PR	Carolina	STANDARD
00988	18.3934	-65.9725	Carolina	PR	Carolina	STANDARD
01001	42.1405	-72.78870000000001	Agawam	MA	Hampden	STANDARD
01002	42.3671	-72.4646	Amherst	MA	Hampshire	STANDARD
01003	42.3696	-72.636	Amherst	MA	Hampshire	STANDARD
01004	42.3845	-72.5132	Amherst	MA	Hampshire	STANDARD
01005	42.3292	-72.1395	Barre	MA	Worcester	STANDARD
01007	42.2803	-72.4021	Belchertown	MA	Hampshire	STANDARD
01008	42.1778	-72.9584	Blandford	MA	Hampden	STANDARD
01009	42.2061	-72.34050000000001	Bondsville	MA	Hampden	PO BOX ONLY
01010	42.1086	-72.2045	Brimfield	MA	Hampden	STANDARD
01011	42.2943	-72.9528	Chester	MA	Hampden	STANDARD
01012	42.3923	-72.82559999999999	Chesterfield	MA	Hampshire	STANDARD
01013	42.1615	-72.6673	Chicopee	MA	Hampden	STANDARD
01014	42.1707	-72.6048	Chicopee	MA	Hampden	STANDARD
01020	42.1775	-72.5626	Chicopee	MA	Hampden	STANDARD
01021	42.1707	-72.6048	Chicopee	MA	Hampden	STANDARD
01022	42.1934	-72.5544	Chicopee	MA	Hampden	STANDARD
01026	42.4286	-72.9098	Cummington	MA	Hampshire	STANDARD
01027	42.3683	-72.7688	Easthampton	MA	Hampshire	STANDARD
01028	42.062	-72.4987	East longmeadow	MA	Hampden	STANDARD
01029	42.1909	-73.0517	East otis	MA	Berkshire	PO BOX ONLY
01030	42.1893	-72.79770000000001	Feeding hills	MA	Hampden	STANDARD
01031	42.3526	-72.20569999999999	Gilbertville	MA	Worcester	STANDARD
01032	42.4438	-72.8194	Goshen	MA	Hampshire	STANDARD
01033	42.2623	-72.50409999999999	Granby	MA	Hampshire	STANDARD
01034	42.1127	-72.952	Granville	MA	Hampden	STANDARD
01035	42.3568	-72.5766	Hadley	MA	Hampshire	STANDARD
01036	42.0676	-72.4175	Hampden	MA	Hampden	STANDARD
01037	42.3479	-72.2253	Hardwick	MA	Worcester	PO BOX ONLY
01038	42.3873	-72.6431	Hatfield	MA	Hampshire	STANDARD
01039	42.3564	-72.68210000000001	Haydenville	MA	Hampshire	STANDARD
01040	42.1983	-72.6421	Holyoke	MA	Hampden	STANDARD
01041	42.1707	-72.6048	Holyoke	MA	Hampden	STANDARD
01050	42.3134	-72.9037	Huntington	MA	Hampshire	STANDARD
01053	42.3538	-72.70440000000001	Leeds	MA	Hampshire	STANDARD
01054	42.4747	-72.4675	Leverett	MA	Franklin	STANDARD
01056	42.1733	-72.627	Ludlow	MA	Hampden	STANDARD
01057	42.0953	-72.2821	Monson	MA	Hampden	STANDARD
01059	42.3696	-72.636	North amherst	MA	Hampshire	STANDARD
01060	42.4152	-72.7693	Northampton	MA	Hampshire	STANDARD
01061	42.3696	-72.636	Northampton	MA	Hampshire	STANDARD
01062	42.3288	-72.84520000000001	Florence	MA	Hampshire	STANDARD
01063	42.3179	-72.64019999999999	Northampton	MA	Hampshire	UNIQUE
01066	42.4067	-72.6339	North hatfield	MA	Hampshire	PO BOX ONLY
01068	42.3461	-72.05880000000001	Oakham	MA	Worcester	STANDARD
01069	42.1761	-72.3146	Palmer	MA	Hampden	STANDARD
01070	42.449	-72.9584	Plainfield	MA	Hampshire	STANDARD
